"jlpt_level","word","reading","meanings","action_type","suggested_setting"
"N5","あびる","","to bathe; to shower","visible movement","home / inn"
"N5","ある","","to be; to have (used for inanimate objects)","object / interface action","general dialogue / flexible setting"
"N5","かかる","","to take time or money","visible movement","general dialogue / flexible setting"
"N5","かける","","to call by phone","social / dialogue action","general dialogue / flexible setting"
"N5","コピーする","","to copy","object / interface action","office / workplace"
"N5","する","","to do","state / thought / contextual verb","general dialogue / flexible setting"
"N5","つける","","to turn on","visible movement","general dialogue / flexible setting"
"N5","できる","","to be able to","state / thought / contextual verb","general dialogue / flexible setting"
"N5","なる","","to become","state / thought / contextual verb","general dialogue / flexible setting"
"N5","はく","","to wear; to put on trousers","visible movement","general dialogue / flexible setting"
"N5","やる","","to do","state / thought / contextual verb","general dialogue / flexible setting"
"N5","違う","ちがう","to differ","state / thought / contextual verb","general dialogue / flexible setting"
"N5","引く","ひく","to pull","visible movement","general dialogue / flexible setting"
"N5","飲む","のむ","to drink","visible movement","restaurant / kitchen"
"N5","泳ぐ","およぐ","to swim","visible movement","street / park / outdoors"
"N5","押す","おす","to push; to stamp something","visible movement","general dialogue / flexible setting"
"N5","歌う","うたう","to sing","visible movement","general dialogue / flexible setting"
"N5","会う","あう","to meet","social / dialogue action","general dialogue / flexible setting"
"N5","開く","あく","to open; to become open","visible movement","home / inn"
"N5","開ける","あける","to open","visible movement","home / inn"
"N5","覚える","おぼえる","to remember","state / thought / contextual verb","general dialogue / flexible setting"
"N5","帰る","かえる","to go back","state / thought / contextual verb","general dialogue / flexible setting"
"N5","起きる","おきる","to get up","state / thought / contextual verb","general dialogue / flexible setting"
"N5","休む","やすむ","to rest","state / thought / contextual verb","general dialogue / flexible setting"
"N5","吸う","すう","to smoke; to suck","state / thought / contextual verb","general dialogue / flexible setting"
"N5","居る","いる","to be; to have (used for people and animals)","object / interface action","general dialogue / flexible setting"
"N5","教える","おしえる","to teach; to tell","state / thought / contextual verb","school / library"
"N5","曲る","まがる","to turn; to bend","visible movement","general dialogue / flexible setting"
"N5","勤める","つとめる","to work for someone","state / thought / contextual verb","office / workplace"
